SchoolName,URL
Brynmawr Foundation School,https://www.brynmawrfoundationschool.co.uk/
Brynmenyn Primary,https://www.brynmenynprimaryschool.co.uk/
Brynmill School,https://brynmill-primary-school1.j2bloggy.com/
Brynnau Primary,https://brynnau-primary-school.j2bloggy.com/
Brynteg School,https://www.brynteg-pri.wrexham.sch.uk/
Bryntirion Comprehensive.,http://www.bryntirioncs.bridgend.sch.uk/
Bryntirion Infants,https://www.bryntirioninfantsschool.co.uk/
Builth Wells C.P. School,http://www.builth.powys.sch.uk/
Burlais Primary School,https://www.burlaisprimaryschool.co.uk/
Burry Port Community Primary School,https://www.burryportprimary.org.uk/
Buttington Trewern C.P. School,http://www.trewern.powys.sch.uk/
Bwlchgwyn School,https://www.bwlchgwyn-school.co.uk/
Cadle Primary School,https://www.cadleprimaryschool.co.uk/
Cadoxton Primary School,https://www.cadoxtonprimaryschool.com/
Cae'r Felin Community School,http://www.caerfelin.amdro.org.uk/
Caedraw Primary,https://sites.google.com/a/vle.caedraw.merthyr.sch.uk/caedraw-primary-school
Caegarw Primary School,https://caegarwprimary.uk/
Caerau Primary School,https://www.caerauprimary.co.uk/
Caerleon Comprehensive School,https://www.caerleoncomprehensive.net/
Caerleon Lodge Hill Primary,http://www.caerleonlodgehillprimary.org
Caersws C.P. School,http://ysgolcaerswsschool.weebly.com/
Caldicot School,https://www.caldicotschool.com/
Canolfan Addysg Y Bont,http://www.canolfanaddysgybont.cymru/
Cantonian High School,https://www.cantonian.org/
Cantref Primary,https://cantrefprimaryschool.co.uk/
Capcoch Primary School,https://www.capcochprimary.co.uk/
Caradog Primary School,https://www.caradogprimary.co.uk/
Cardiff High School,http://www.cardiffhigh.cardiff.sch.uk
Cardinal Newman R.C.,https://www.cardinalnewman.co.uk/
Carreghofa C.P. School,https://www.carreghofaprimary.co.uk/
Carway C.P. School,http://www.cgp.amdro.org.uk/
Casllwchwr Primary School,https://www.casllwchwrprimary.com/
Castell Alun High School,https://castellalun.com/
Castle Park Primary School,https://www.castleparkprimary.co.uk/
Cathays High School,https://www.cathayshigh.co.uk/
Catwg Primary School,http://catwg-primary-school.j2bloggy.com/
Cefn Cribwr Primary School,https://sites.google.com/hwbcymru.net/cefncribwrprimaryschool
Cefn Fforest Primary,https://www.cefnfforestprimary.co.uk/
Cefn Glas Infants,https://www.cefnglasinfantschool.co.uk/
Cefn Hengoed,http://www.cefnhengoed.net/
Cefn Mawr C P School,https://www.cefnmawr-pri.wrexham.sch.uk/
Cefn Primary School,https://www.fernfederation.co.uk/topic/cefn-primary-school
Cefn Saeson Comprehensive School,https://cefnsaeson.school/
Cefneithin C.P.,http://www.cefneithin.amdro.org.uk/
Central Primary School,https://centralprimary.j2bloggy.com/
Chepstow Comprehensive School,https://www.chepstowschool.net/
Christ Church Primary School,https://www.christchurchcpschool.co.uk/
Christ The King Primary School,https://www.christthekingcathprm.co.uk/
Christ The Word Catholic School,https://www.christtheword.co.uk/
Christchurch Church In Wales,https://www.christchurchpri.co.uk/
Churchstoke C.P. School,https://churchstokecpschool.wordpress.com/
Cila Primary School,https://www.cilaprimarysch.co.uk/
Cilffriw Primary School,https://cilffriw-primary-school.j2bloggy.com/
Cilfynydd Primary,https://www.cilfynyddprimary.co.uk/
Clase Primary School,https://www.claseprimaryschool.co.uk/
Cleddau Reach Vc School,https://www.cleddaureachschool.org.uk/
Clwyd Primary School,https://www.clwydprimary.co.uk/
Clydach Primary School,https://www.clydachprimaryschool.co.uk/
Clyro C.I.W. School,https://www.clyro.powys.sch.uk/
Clytha Primary School,https://www.clythaprimary.co.uk/
Coastlands Cp School,https://coastlandscpschool.co.uk/
Coed Eva Primary School,https://federationbrce.com/cep/
Coed Glas C P School,https://www.coedglasprimary.co.uk/
Coed Hirwaun Primary School,https://coed-hirwaun-primary-school.j2bloggy.com/
Coed Y Garn Primary School,https://www.coed-y-garnprimary.co.uk/
